45,-3.24789035e-03,9.39699438e-04,2.23220718e-04,1.09633565e-04,-3.95827865e-04,-2.88213081e-03
44,-2.04856722e-03,-4.12860115e-04,2.95441142e-05,1.84891419e-04,5.77757679e-04,-3.54976030e-03
47,-1.53748480e-03,-2.10042619e-04,-4.12448287e-04,1.73025800e-04,2.65019893e-04,-2.94263668e-03
46,-2.00388073e-03,-3.85958086e-04,2.80356964e-04,1.96669206e-05,-1.14867630e-04,-3.29669260e-03
3d,-8.21811246e-04,1.62708573e-04,-2.69878874e-04,-3.89800458e-04,3.61597649e-04,-1.87536081e-03
51,-1.52853536e-03,-5.65952449e-04,-2.66869766e-04,2.56462099e-04,6.14919894e-04,-2.90492051e-03
52,-1.87034120e-03,-2.92819903e-04,-6.96212530e-05,3.80507209e-04,-1.64992867e-04,-3.48777914e-03
53,-1.45568110e-03,-4.60730563e-04,4.39402498e-05,-4.77315931e-05,5.89555524e-04,-3.16229029e-03
54,-1.50852599e-03,2.51845092e-04,-5.83825966e-04,1.24201658e-04,2.63509886e-04,-2.68554637e-03
50,-1.29197412e-02,7.80966336e-03,-8.92081170e-04,-2.46782197e-03,-5.40573942e-04,-1.50557391e-03
99,-1.68090424e-03,-3.60356058e-04,4.38058486e-04,6.29519772e-04,3.53976316e-04,-1.76277977e-03
hence,-2.00644058e-03,2.14154076e-03,-5.87343028e-04,-8.57122149e-04,-4.05792300e-04,-5.08938855e-04
98,-9.90853994e-04,-2.19014052e-04,-2.03424994e-04,-2.81975306e-05,1.57187722e-04,-1.49467935e-03
97,-1.32328398e-03,-8.83334346e-04,-5.86170250e-04,9.22932917e-04,6.05258064e-04,-2.28150223e-03
96,-1.09586528e-03,-5.34577793e-04,-3.44504927e-04,3.24759742e-04,7.58285310e-04,-1.73562684e-03
95,-2.47684345e-03,1.15396426e-03,-4.20716445e-04,5.68026106e-04,7.43165740e-04,-2.60228200e-03
94,-1.07686401e-03,-5.08997044e-04,-1.64903129e-04,1.09099295e-04,2.95382297e-04,-1.21970284e-03
93,-1.46840070e-03,-6.16752687e-04,-4.21216971e-05,8.23659277e-04,5.16377994e-04,-2.60445219e-03
92,-1.02112884e-03,-6.14599238e-04,-3.52901012e-04,2.88531000e-04,3.88354615e-04,-1.32032861e-03
91,-1.31985913e-03,-8.38668177e-04,-1.90804280e-04,8.23650276e-04,1.69064177e-04,-2.53400675e-03
90,-6.13377755e-03,4.05127605e-03,-8.98385221e-05,-6.42018380e-04,-1.27233980e-03,-3.79416660e-03
88,-9.59733057e-04,-6.65236472e-04,-1.06227133e-04,6.27402259e-04,3.00826611e-05,-1.58865927e-03
89,-1.03963410e-03,-6.56066809e-04,-1.45760230e-04,4.89756561e-04,7.73605867e-04,-2.59851499e-03
property,-1.80496442e-03,-1.10990214e-05,-8.43560973e-04,1.10805463e-03,6.96032708e-04,-8.01813951e-04
marine,-1.78965271e-03,-2.30942008e-03,-8.40972013e-04,3.35700536e-04,1.56554259e-03,-2.78438059e-03
locally,-9.44929358e-04,2.94013400e-04,1.91684620e-04,-5.83844471e-04,1.60843212e-05,-1.99919754e-04
anaesthesia,-1.17903649e-03,-1.79599008e-04,-3.91182900e-04,-1.93533144e-03,-1.17782220e-03,-6.11484229e-04
systematic,-4.19940757e-03,2.48335809e-03,1.65991212e-03,1.76333294e-05,2.06280925e-03,-2.19500704e-03
monitor,-3.11826134e-03,9.48280280e-04,2.72678100e-03,-1.58203144e-03,-7.86975809e-04,-2.24155323e-03
neuromuscular,-7.66625400e-04,2.13981503e-04,-1.19180660e-05,-4.10307397e-04,6.95364014e-04,-1.35998445e-03
christian,-4.14852196e-03,-1.80629831e-03,-3.64054786e-03,2.22879831e-03,-1.80280296e-03,1.22312855e-03
agreement,-2.58430227e-03,-9.79053021e-04,-3.74348788e-04,2.24689636e-04,6.94836299e-04,7.56962341e-04
francisco,-3.80624118e-03,-6.26902065e-03,-4.22522901e-03,2.36097538e-03,7.15572719e-04,-2.40243848e-03
abortion,-1.62835061e-03,4.96292458e-04,1.25082988e-03,1.41166801e-03,-2.91730706e-04,8.60985556e-04
depending,-6.00567305e-03,7.72058064e-03,1.67365138e-03,-6.82295231e-03,-3.66401647e-03,-5.95104285e-03
lymph,-1.42678344e-03,2.62611055e-03,-3.38820868e-04,-1.61674550e-03,-3.72940522e-04,-3.45553579e-03
economy,-1.85485319e-03,-1.21943333e-03,1.24539871e-03,2.25004485e-03,1.01808111e-03,-3.35562604e-04
sounds,-7.76247615e-04,1.18148912e-03,-1.32609816e-04,-3.38942276e-04,-7.31225084e-04,-9.44137379e-04
formation,-4.28757535e-03,4.17316413e-03,-1.53423079e-03,-1.57346672e-04,1.97145225e-03,-5.63950409e-03
initiate,-7.26121080e-04,6.08340051e-04,8.92087233e-05,-1.15972498e-04,-1.11236665e-04,-3.44213470e-04
river,-1.55788377e-03,-1.16073978e-03,-6.44305446e-04,6.29261998e-04,-6.90828299e-04,-1.99902889e-04
references,-1.07765776e-03,6.33286286e-06,-5.04305301e-04,5.97148457e-04,-1.44813574e-05,-6.00154551e-04
hg,-4.27498058e-04,3.76975831e-04,-1.12656344e-04,-4.16532051e-04,3.16767163e-04,-1.83018217e-03
he,-1.09453127e-01,-8.08993059e-02,-2.71741426e-01,3.14768513e-01,-1.80011784e-01,1.71817432e-01
gh,-7.31434441e-04,8.58269063e-04,-3.07933907e-05,-7.35591193e-04,5.30972249e-04,-6.66642047e-04
binding,-1.72707425e-03,2.75356740e-03,-2.94871389e-04,-7.34998440e-05,1.22301482e-03,-2.43859752e-03
gp,-1.16484205e-03,-5.41028165e-04,5.29289086e-04,-1.38024300e-03,-1.19957460e-03,3.68596642e-04
go,-6.05026414e-03,3.46154700e-03,-8.22962868e-04,-6.41100420e-05,-5.48408775e-03,1.35590242e-03
du,-6.76182277e-04,-4.84240204e-04,-6.49473662e-04,5.67805590e-04,1.57538280e-04,-5.98745092e-04
indicate,-3.97805751e-03,5.95642646e-03,3.71788067e-04,-2.98308670e-03,9.64468434e-04,-3.24252395e-03
ed,-3.75684646e-03,-4.65942805e-03,-5.02677094e-05,7.58078528e-04,3.28268370e-03,-1.15130578e-02
de,-9.30283459e-03,-8.91307937e-03,-7.15593236e-03,5.53525216e-03,7.99694805e-04,-8.79966238e-03
di,-5.86294909e-04,-4.12894747e-04,-7.78708662e-04,8.46469155e-05,3.88737949e-04,-6.86984423e-04
dh,-5.52910164e-04,9.85956379e-05,-2.47724024e-04,-6.43735531e-04,5.84251839e-04,-3.08073179e-03
dm,-6.07643438e-04,-5.17162497e-04,1.22278474e-04,-5.61964973e-04,2.89099723e-04,-1.60596598e-03
dl,-1.16933765e-03,2.17205271e-04,1.05300578e-04,-4.97574618e-04,1.90035439e-04,-2.88233698e-03
do,-2.79073047e-02,2.54062117e-02,5.65581829e-03,-1.10069750e-02,-9.91274998e-03,5.10201565e-03
prevented,-1.61898792e-03,1.85720211e-03,-2.99270206e-04,5.70517055e-04,-1.08562580e-03,-8.11566178e-04
dr,-3.90308107e-02,-4.26347046e-02,-5.54659057e-02,4.65123391e-02,-2.88273969e-03,8.36641866e-03
ex,-1.79608046e-03,-4.09793023e-05,-4.34755085e-04,1.53869856e-03,-9.10397712e-04,1.83084210e-04
eu,-1.37552392e-03,-2.85003588e-04,5.61110004e-04,1.06980578e-03,1.26212473e-03,-1.09478591e-04
el,-1.68882150e-03,-2.14242958e-03,-7.05594898e-04,-5.74535552e-04,4.16250764e-04,-3.00397110e-03
en,-2.49865575e-03,-3.57758892e-03,1.10137771e-03,8.11935249e-04,1.98173340e-03,-4.68710874e-03
et,-7.90437421e-03,4.59934841e-03,-2.14862543e-04,-3.67539584e-04,4.59331014e-03,-1.08236323e-02
anaesthetic,-6.63148184e-04,5.48208667e-04,-1.57859360e-04,-1.12837266e-03,-6.43913299e-04,-6.79248034e-04
ca,-1.93163480e-03,-8.53061080e-04,-8.18065651e-04,2.01499303e-04,8.20362093e-04,-3.68284296e-03
bs,-7.47095590e-04,-1.31228668e-03,-1.57397308e-03,-9.00447940e-04,-1.84374770e-04,-1.61340197e-04
br,-9.52718174e-03,-8.77560481e-03,2.71747066e-04,-4.20655937e-03,7.87991502e-03,-1.66216305e-02
bc,-1.75826151e-03,1.36860534e-04,-2.09191651e-03,1.16686844e-03,-1.21439727e-03,-7.57777815e-05
dc,-2.01033650e-03,-2.46209098e-03,-2.19464573e-04,2.11957934e-03,1.26405027e-03,-3.06387294e-03
da,-1.13719479e-03,-6.76829599e-04,-2.16454731e-04,-2.22546009e-04,1.26324009e-04,-1.40555778e-03
ct,-4.27866375e-03,2.17225516e-03,-3.97783198e-04,-6.62529141e-03,1.68511028e-04,-5.73876184e-03
decided,-2.55897409e-03,-8.49675201e-04,-3.70898420e-03,2.86514185e-03,-3.79325503e-03,2.71266411e-03
co,-1.52323718e-02,-1.13274307e-02,-7.15328245e-03,1.37076513e-02,7.52584777e-03,-8.35233084e-03
cp,-8.88739362e-04,1.18696858e-03,1.12676828e-04,-6.67738427e-04,1.32428480e-04,-5.11066787e-04
cm,-1.98204625e-03,1.60519253e-03,1.31740729e-04,-1.22099014e-03,-4.97205743e-04,-4.28415931e-03
cj,-1.53167508e-04,-6.78695479e-05,1.56388300e-04,1.78338479e-05,1.57729030e-04,-8.64414088e-04
cf,-8.13255960e-04,9.35603703e-04,-6.58985825e-05,-2.58058785e-04,-1.07605675e-04,-1.35288234e-03
institutes,-9.35611547e-03,-1.53540339e-02,5.79783328e-03,1.39347759e-02,1.96535828e-02,-1.36044467e-02
